ID,Adjacent
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28,33
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-101,33
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29,33
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-101,33
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-101,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35-101,104
