Strategy,TeamID,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes
Isolated,G246,P816,S729,1,valid,valid,NA
Isolated,G246,P816,S760,2,valid,valid,NA
Isolated,G246,P816,S801,3,valid,valid,NA
Isolated,G246,P816,S816,4,valid,valid,NA
Isolated,G245,P817,S728,1,valid,valid,NA
Isolated,G245,P817,S757,2,valid,valid,NA
Isolated,G245,P817,S800,3,valid,valid,NA
Isolated,G245,P817,S817,4,valid,valid,NA
Isolated,G247,P818,S730,1,valid,valid,NA
Isolated,G247,P818,S759,2,valid,valid,NA
Isolated,G247,P818,S814,3,valid,valid,NA
Isolated,G247,P818,S818,4,valid,valid,NA
Isolated,G248,P819,S731,1,valid,valid,NA
Isolated,G248,P819,S756,2,valid,valid,NA
Isolated,G248,P819,S815,3,valid,valid,NA
Isolated,G248,P819,S819,4,valid,valid,NA
Isolated,G249,P820,S732,1,valid,valid,NA
Isolated,G249,P820,S761,2,valid,valid,NA
Isolated,G249,P820,S803,3,valid,valid,NA
Isolated,G249,P820,S820,4,valid,valid,NA
Isolated,G256,P822,S739,1,bad_compliance,valid,NA
Isolated,G256,P822,S771,2,bad_compliance,valid,NA
Isolated,G256,P822,S804,3,bad_compliance,bad_compliance,On her phone periodically in Part 3.
Isolated,G256,P822,S822,4,bad_compliance,valid,NA
Isolated,G251,P824,S734,1,valid,valid,NA
Isolated,G251,P824,S763,2,valid,valid,NA
Isolated,G251,P824,S805,3,valid,valid,NA
Isolated,G251,P824,S824,4,valid,valid,NA
Isolated,G179,P825,S465,1,valid,valid,NA
Isolated,G179,P825,S492,2,valid,valid,NA
Isolated,G179,P825,S515,3,valid,valid,NA
Isolated,G179,P825,S533,4,valid,valid,NA
Isolated,G253,P826,S736,1,valid,valid,NA
Isolated,G253,P826,S768,2,valid,valid,NA
Isolated,G253,P826,S807,3,valid,valid,NA
Isolated,G253,P826,S826,4,valid,valid,NA
Isolated,G252,P827,S735,1,valid,valid,NA
Isolated,G252,P827,S774,2,valid,valid,NA
Isolated,G252,P827,S812,3,valid,valid,NA
Isolated,G252,P827,S827,4,valid,valid,NA
Isolated,G260,P828,S743,1,incomplete_sessions,valid,NA
Isolated,G260,P828,S770,2,incomplete_sessions,valid,NA
Isolated,G260,P828,S828,3,incomplete_sessions,valid,NA
Isolated,G255,P829,S738,1,bad_compliance,bad_compliance,Seemed to give up
Isolated,G255,P829,S769,2,bad_compliance,bad_compliance,Seemed to give up
Isolated,G255,P829,S810,3,bad_compliance,bad_compliance,Seemed to give up
Isolated,G255,P829,S829,4,bad_compliance,bad_compliance,Seemed to give up
Isolated,G262,P830,S745,1,valid,valid,NA
Isolated,G262,P830,S773,2,valid,valid,NA
Isolated,G262,P830,S802,3,valid,valid,NA
Isolated,G262,P830,S830,4,valid,valid,NA
Isolated,G259,P831,S742,1,valid,valid,NA
Isolated,G259,P831,S776,2,valid,valid,NA
Isolated,G259,P831,S809,3,valid,valid,NA
Isolated,G259,P831,S831,4,valid,valid,NA
