Strategy,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes
Isolated,P349,S349,1,experiment_error,valid,exp error in part4
Isolated,P349,S373,2,experiment_error,valid,exp error in part4
Isolated,P349,S380,3,experiment_error,valid,exp error in part4
Isolated,P349,S419,4,experiment_error,experiment_error,exp error in part4
Isolated,P402,S402,1,incomplete_sessions,valid,NA
Isolated,P402,S420,2,incomplete_sessions,bad_compliance,Part 2 was only present for about 15 minutes
Isolated,P387,S387,1,valid,valid,NA
Isolated,P387,S417,2,valid,valid,NA
Isolated,P387,S437,3,valid,valid,NA
Isolated,P387,S449,4,valid,valid,NA
Isolated,P396,S396,1,valid,valid,NA
Isolated,P396,S418,2,valid,valid,NA
Isolated,P396,S438,3,valid,valid,NA
Isolated,P396,S450,4,valid,valid,NA
Isolated,P411,S411,1,valid,valid,NA
Isolated,P411,S422,2,valid,valid,NA
Isolated,P411,S439,3,valid,valid,NA
Isolated,P411,S452,4,valid,valid,NA
Isolated,P386,S386,1,valid,valid,NA
Isolated,P386,S421,2,valid,valid,NA
Isolated,P386,S436,3,valid,valid,NA
Isolated,P386,S455,4,valid,valid,NA
Isolated,P410,S410,1,valid,valid,NA
Isolated,P410,S423,2,valid,valid,NA
Isolated,P410,S440,3,valid,valid,NA
Isolated,P410,S456,4,valid,valid,NA
Isolated,P406,S406,1,valid,valid,NA
Isolated,P406,S426,2,valid,valid,NA
Isolated,P406,S441,3,valid,valid,NA
Isolated,P406,S457,4,valid,valid,NA
Isolated,P407,S407,1,valid,valid,NA
Isolated,P407,S425,2,valid,valid,NA
Isolated,P407,S442,3,valid,valid,NA
Isolated,P407,S458,4,valid,valid,NA
Isolated,P409,S409,1,bad_compliance,valid,NA
Isolated,P409,S424,2,bad_compliance,valid,NA
Isolated,P409,S443,3,bad_compliance,bad_compliance,Part 3 tired and gave up
Isolated,P409,S460,4,bad_compliance,valid,NA
Isolated,P404,S404,1,experiment_error,valid,NA
Isolated,P404,S428,2,experiment_error,experiment_error,Power went out after 15 min
Isolated,P404,S448,3,experiment_error,experiment_error,NA
Isolated,P404,S464,4,experiment_error,valid,NA
Isolated,P403,S403,1,experiment_error,valid,NA
Isolated,P403,S427,2,experiment_error,experiment_error,Power went out after 15 min
Isolated,P403,S454,3,experiment_error,experiment_error,Did not inherit data from Part 2
Isolated,P403,S473,4,experiment_error,experiment_error,valid
Isolated,P388,S388,1,experiment_error,valid,NA
Isolated,P388,S447,2,experiment_error,experiment_error,Power went out after 15 min
Isolated,P388,S474,3,experiment_error,valid,NA
Isolated,P388,S508,4,experiment_error,valid,NA
Isolated,P469,S469,1,valid,valid,NA
Isolated,P469,S495,2,valid,valid,NA
