Strategy,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes,TeamSize
Synchronic,P209,S209,3,valid,valid,NA,4
Synchronic,P254,S254,4,valid,valid,NA,4
Synchronic,P92,S92,1,valid,valid,NA,4
Synchronic,P173,S173,2,valid,valid,NA,4
Synchronic,P210,S210,3,valid,valid,NA,4
Synchronic,P260,S260,4,valid,valid,NA,4
Synchronic,P95,S95,1,bad_ancestor,bad_compliance,visibly frustrated but fully participated,4
Synchronic,P178,S178,2,bad_ancestor,valid,NA,4
Synchronic,P213,S213,3,bad_ancestor,valid,NA,4
Synchronic,P262,S262,4,bad_ancestor,valid,NA,4
Synchronic,P97,S97,1,valid,valid,NA,4
Synchronic,P98,S98,2,valid,valid,NA,4
Synchronic,P574,S574,3,valid,valid,NA,4
Synchronic,P594,S594,4,valid,valid,NA,4
Synchronic,P101,S101,1,valid,valid,NA,4
Synchronic,P106,S106,2,valid,valid,NA,4
Synchronic,P507,S507,3,valid,valid,NA,4
Synchronic,P596,S596,4,valid,valid,NA,4
Synchronic,P107,S107,1,valid,valid,NA,4
Synchronic,P109,S109,2,valid,valid,NA,4
Synchronic,P505,S505,3,valid,valid,NA,4
Synchronic,P588,S588,4,valid,valid,NA,4
Synchronic,P111,S111,1,valid,valid,NA,4
Synchronic,P113,S113,2,valid,valid,NA,4
Synchronic,P504,S504,3,valid,valid,NA,4
Synchronic,P586,S586,4,valid,valid,NA,4
Synchronic,P117,S117,1,valid,valid,NA,4
Synchronic,P118,S118,2,valid,valid,NA,4
Synchronic,P506,S506,3,valid,valid,NA,4
Synchronic,P587,S587,4,valid,valid,NA,4
Synchronic,P119,S119,1,bad_ancestor,bad_compliance,Needed instructions given to him a second time after game started,4
Synchronic,P120,S120,2,bad_ancestor,valid,NA,4
Synchronic,P583,S583,3,bad_ancestor,valid,NA,4
Synchronic,P598,S598,4,bad_ancestor,valid,NA,4
Synchronic,P121,S121,1,valid,valid,NA,4
Synchronic,P124,S124,2,valid,valid,NA,4
Synchronic,P582,S582,3,valid,valid,NA,4
Synchronic,P604,S604,4,valid,valid,NA,4
Synchronic,P125,S125,1,valid,valid,NA,4
Synchronic,P126,S126,2,valid,valid,NA,4
Synchronic,P562,S562,3,valid,valid,NA,4
Synchronic,P607,S607,4,valid,valid,NA,4
Synchronic,P128,S128,1,bad_ancestor,valid,NA,4
Synchronic,P194,S194,2,bad_ancestor,valid,NA,4
Synchronic,P215,S215,3,bad_ancestor,bad_compliance,"Stopped trying after he finished making the items the ancestor made (ancestor had 1199 points, so that took up most of his time)",4
Synchronic,P272,S272,4,bad_ancestor,valid,NA,4
Synchronic,P130,S130,1,valid,valid,NA,4
Synchronic,P132,S132,2,valid,valid,NA,4
Synchronic,P561,S561,3,valid,valid,NA,4
Synchronic,P608,S608,4,valid,valid,NA,4
Synchronic,P135,S135,1,bad_ancestor,valid,NA,4
Synchronic,P195,S195,2,bad_ancestor,valid,NA,4
Synchronic,P216,S216,3,bad_ancestor,bad_compliance,Didn't get up to the same level as her ancestor,4
Synchronic,P279,S279,4,bad_ancestor,valid,NA,4
Synchronic,P137,S137,1,valid,valid,NA,4
Synchronic,P196,S196,2,valid,valid,NA,4
Synchronic,P217,S217,3,valid,valid,NA,4
Synchronic,P280,S280,4,valid,valid,NA,4
Synchronic,P139,S139,1,valid,valid,NA,4
Synchronic,P197,S197,2,valid,valid,NA,4
Synchronic,P222,S222,3,valid,valid,NA,4
Synchronic,P297,S297,4,valid,valid,NA,4
Synchronic,P147,S147,1,valid,valid,NA,4
Synchronic,P148,S148,2,valid,valid,NA,4
Synchronic,P539,S539,3,valid,valid,NA,4
Synchronic,P609,S609,4,valid,valid,NA,4
Synchronic,P149,S149,1,valid,valid,NA,4
Synchronic,P150,S150,2,valid,valid,NA,4
Synchronic,P538,S538,3,valid,valid,NA,4
Synchronic,P616,S616,4,valid,valid,NA,4
Synchronic,P153,S153,1,valid,valid,NA,4
Synchronic,P198,S198,2,valid,valid,NA,4
Synchronic,P223,S223,3,valid,valid,NA,4
Synchronic,P298,S298,4,valid,valid,NA,4
Synchronic,P154,S154,1,valid,valid,NA,4
Synchronic,P199,S199,2,valid,valid,NA,4
Synchronic,P224,S224,3,valid,valid,NA,4
Synchronic,P299,S299,4,valid,valid,NA,4
Synchronic,P231,S231,1,valid,valid,NA,4
Synchronic,P232,S232,1,valid,valid,NA,4
Synchronic,P233,S233,1,valid,valid,NA,4
Synchronic,P234,S234,1,valid,valid,NA,4
Synchronic,P243,S243,1,valid,valid,NA,4
Synchronic,P244,S244,1,valid,valid,NA,4
Synchronic,P245,S245,1,valid,valid,NA,4
Synchronic,P242,S242,1,valid,valid,NA,4
Synchronic,P248,S248,1,valid,valid,NA,4
Synchronic,P249,S249,1,valid,valid,NA,4
Synchronic,P250,S250,1,valid,valid,NA,4
Synchronic,P251,S251,1,valid,valid,NA,4
Synchronic,P255,S255,1,valid,valid,NA,4
Synchronic,P256,S256,1,valid,valid,NA,4
Synchronic,P257,S257,1,valid,valid,NA,4
Synchronic,P258,S258,1,valid,valid,NA,4
Synchronic,P273,S273,1,valid,valid,NA,4
Synchronic,P274,S274,1,valid,valid,NA,4
Synchronic,P275,S275,1,valid,valid,NA,4
Synchronic,P276,S276,1,valid,valid,NA,4
Synchronic,P281,S281,1,valid,valid,NA,4
Synchronic,P282,S282,1,valid,valid,NA,4
Synchronic,P283,S283,1,valid,valid,NA,4
Synchronic,P284,S284,1,valid,valid,NA,4
Synchronic,P285,S285,1,valid,valid,NA,4
Synchronic,P286,S286,1,valid,valid,NA,4
Synchronic,P287,S287,1,valid,valid,NA,4
Synchronic,P288,S288,1,valid,valid,NA,4
Synchronic,P289,S289,1,valid,valid,NA,4
Synchronic,P290,S290,1,valid,valid,NA,4
Synchronic,P291,S291,1,valid,valid,NA,4
Synchronic,P292,S292,1,valid,valid,NA,4
Synchronic,P293,S293,1,valid,valid,NA,4
Synchronic,P294,S294,1,valid,valid,NA,4
Synchronic,P295,S295,1,valid,valid,NA,4
Synchronic,P296,S296,1,valid,valid,NA,4
Synchronic,P301,S301,1,valid,valid,NA,4
Synchronic,P302,S302,1,valid,valid,NA,2
Synchronic,P303,S303,1,valid,valid,NA,2
Synchronic,P304,S304,1,valid,valid,NA,2
Synchronic,P305,S305,1,valid,valid,NA,2
Synchronic,P306,S306,1,valid,valid,NA,2
Synchronic,P307,S307,1,valid,valid,NA,2
Synchronic,P308,S308,1,valid,valid,NA,2
Synchronic,P309,S309,1,valid,valid,NA,2
Synchronic,P310,S310,1,valid,valid,NA,2
Synchronic,P311,S311,1,valid,valid,NA,2
Synchronic,P312,S312,1,valid,valid,NA,2
Synchronic,P320,S320,1,valid,valid,NA,2
Synchronic,P321,S321,1,valid,valid,NA,2
Synchronic,P322,S322,1,valid,valid,NA,2
Synchronic,P323,S323,1,valid,valid,NA,2
Synchronic,P324,S324,1,valid,valid,NA,2
Synchronic,P325,S325,1,valid,valid,NA,2
Synchronic,P326,S326,1,valid,valid,NA,2
Synchronic,P327,S327,1,valid,valid,NA,2
Synchronic,P328,S328,1,valid,valid,NA,2
Synchronic,P329,S329,1,valid,valid,NA,2
Synchronic,P330,S330,1,valid,valid,NA,2
Synchronic,P331,S331,1,valid,valid,NA,2
Synchronic,P332,S332,1,valid,valid,NA,2
Synchronic,P333,S333,1,valid,valid,NA,2
Synchronic,P334,S334,1,valid,valid,NA,2
Synchronic,P335,S335,1,valid,valid,NA,2
Synchronic,P358,S358,1,valid,valid,NA,2
Synchronic,P359,S359,1,valid,valid,NA,2
Synchronic,P360,S360,1,valid,valid,NA,2
Synchronic,P361,S361,1,valid,valid,NA,2
Synchronic,P476,S476,1,valid,valid,NA,2
Synchronic,P477,S477,1,valid,valid,NA,2
Synchronic,P479,S479,1,valid,valid,NA,2
Synchronic,P478,S478,1,valid,valid,NA,2
Synchronic,P480,S480,1,valid,valid,NA,2
Synchronic,P481,S481,1,valid,valid,NA,2
Synchronic,P482,S482,1,valid,valid,NA,2
Synchronic,P483,S483,1,valid,valid,NA,2
Synchronic,P496,S496,1,valid,valid,NA,2
Synchronic,P497,S497,1,valid,valid,NA,2
